cantiere_key;codice_cantiere;pratica_id;ente;lotto;cluster;tratte_lavorabili;tratte_bloccate;metri_totali;metri_totali_potenziali;stato_cantiere;tecnica_scavo;data_inizio_prevista;data_inizio_effettiva;data_fine_prevista;data_fine_effettiva;metri_scavati;note;motivo_blocco;data_ripresa_stimata;impresa;updated_at
1|1B|COMUNE DI SETTIMO MILANESE;CA/1/1B;AUT/1/1B;COMUNE DI SETTIMO MILANESE;1B;1;TR_0224, TR_0382, TR_0495, TR_0539, TR_0540, TR_0798;;3908.5499999999997;3908.5499999999997;in_corso;trincea;2026-07-31;2026-07-31;2026-09-18;;40.0;SCAVI INIZIATI IN VIA ROMOLI;;;Soleto;2026-07-31T09:12:33.149900+00:00
1|2A|COMUNE DI BASIGLIO;CA/5/2A;AUT/1/2A;COMUNE DI BASIGLIO;2A;2;TR_0640, TR_0642, TR_0815;;1559.41;1559.41;allestimento;;2026-08-24;;;;;;;;Sielte;2026-07-31T16:07:53.390652+00:00
10|2B|PROVINCIA DI MILANO;CA/5/2B;AUT/10/2B;PROVINCIA DI MILANO;2B;2;TR_0811;;52.55;52.55;allestimento;;2026-07-27;;;;;;;;Telebit;2026-07-21T15:38:35.175255+00:00
11|2B|COMUNE DI SIZIANO;CA/6/2B;AUT/11/2B;COMUNE DI SIZIANO;2B;2;TR_0384, TR_0793;;1662.79;1662.79;allestimento;;2026-07-27;;;;;;;;Telebit;2026-07-23T13:58:06.334595+00:00
12|1A|PROVINCIA DI MILANO;CA/1/1A;AUT/12/1A;PROVINCIA DI MILANO;1A;1;;TR_0443 (Manca nulla osta);458.56;458.56;non_avviato;;;;;;;;;;Valtellina;2026-07-01T11:47:30.411125+00:00
2|2A|COMUNE DI LACCHIARELLA;CA/3/2A;AUT/2/2A;COMUNE DI LACCHIARELLA;2A;2;TR_0415;;639.02;639.02;allestimento;;2026-09-07;;;;;;;;Sielte;2026-07-31T16:11:19.975380+00:00
2|2B|PROVINCIA DI MILANO;CA/2/2B;AUT/2/2B;PROVINCIA DI MILANO;2B;2;TR_0385, TR_0421, TR_0794;TR_0810 (Manca nulla osta);3301.5600000000004;3301.5600000000004;in_corso;no_dig;2026-07-27;2026-07-29;2026-09-30;;240.0;;;;Telebit;2026-07-31T13:37:29.369867+00:00
3|2A|COMUNE DI ROZZANO;CA/4/2A;AUT/3/2A;COMUNE DI ROZZANO;2A;2;TR_0416, TR_0419, TR_0524, TR_0525, TR_0526, TR_0527;;1584.15;1584.15;in_corso;no_dig;2026-07-27;2026-07-28;2026-09-04;;130.0;;;;Sielte;2026-07-31T16:07:12.821332+00:00
6|2A|PROVINCIA DI MILANO;CA/2/2A;AUT/6/2A;PROVINCIA DI MILANO;2A;2;TR_0411, TR_0413, TR_0529;TR_0528 (Manca nulla osta);2747.13;2747.13;allestimento;;2026-09-07;;;;;;;;Sielte;2026-07-31T16:11:52.500381+00:00
7|2A|PROVINCIA DI MILANO;CA/1/2A;AUT/7/2A;PROVINCIA DI MILANO;2A;2;TR_0378, TR_0417, TR_0418, TR_0827;TR_0828 (Manca nulla osta);2882.1400000000003;2882.1400000000003;allestimento;;2026-09-07;;;;;;;;Sielte;2026-07-31T16:12:59.383526+00:00
7|2B|COMUNE DI ZIBIDO;CA/3/2B;AUT/7/2B;COMUNE DI ZIBIDO;2B;2;TR_0422, TR_0424, TR_0531;TR_0423 (Manca nulla osta), TR_0530 (Manca ordinanza);2013.02;2013.02;allestimento;;2026-08-03;;;;;;;;Telebit;2026-07-23T13:59:20.113148+00:00
8|2B|PROVINCIA DI MILANO;CA/4/2B;AUT/8/2B;PROVINCIA DI MILANO;2B;2;TR_0532, TR_0533, TR_0534, TR_0647, TR_0648, TR_0649, TR_0650, TR_0651, TR_0695;;5040.969999999999;5040.969999999999;in_corso;no_dig;2026-07-27;2026-07-28;2026-10-30;;200.0;;;;Telebit;2026-07-31T13:37:54.492070+00:00
9|2B|COMUNE DI LACCHIARELLA;CA/1/2B;AUT/9/2B;COMUNE DI LACCHIARELLA;2B;2;TR_0379, TR_0408;TR_0407 (Manca nulla osta);3163.11;3163.11;in_corso;no_dig;2026-07-20;2026-07-21;2026-08-11;;466.0;;;;Telebit;2026-07-31T13:38:22.166842+00:00
