LOTTO;STATO_AUTORIZZAZIONE;Metri;TotaleMetri;Percentuale
1;IN ATTESA;50.924,36;50.924,36;100,00%
1A;IN ATTESA;8.319,93;16.891,34;49,26%
1A;IN FIRMA RDS;8.417,41;16.891,34;49,83%
1A;IN REDAZIONE;154,00;16.891,34;0,91%
1B;IN REDAZIONE;2.275,54;8.524,30;26,69%
1B;PROTOCOLLATO;6.248,76;8.524,30;73,31%
2;IN ATTESA;48.537,29;48.537,29;100,00%
2A;IN FIRMA RDS;4.522,75;11.746,12;38,50%
2A;IN REDAZIONE;7.223,37;11.746,12;61,50%
2B;INVIATO;74,04;15.330,01;0,48%
2B;IN REDAZIONE;190,04;15.330,01;1,24%
2B;PROTOCOLLATO;5.207,43;15.330,01;33,97%
2B;IN ATTESA;9.858,50;15.330,01;64,31%
3;IN ATTESA;46.251,66;46.251,66;100,00%
4;IN ATTESA;56.003,02;56.003,02;100,00%
5;IN ATTESA;48.332,92;48.332,92;100,00%
6;IN ATTESA;58.053,16;58.053,16;100,00%
7;IN ATTESA;47.183,51;47.183,51;100,00%
8;IN ATTESA;19.616,90;19.616,90;100,00%
